id,Klassifikation_ID,Hauptkategorie,Unterkategorie,Beschreibung,Standard_Prio,Zielpostfach,Zielordner,Aktion_ID,Notiz,createdAt,updatedAt
12,BESTELLUNG_EMAIL,Bestellung,Neue Bestellung per E-Mail,"Kunde übermittelt eine neue Bestellung per Mail, häufig mit Kundennummer, Artikeln und Mengen.",normal,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-10T08:32:47.839Z
13,BESTELLUNG_NACHTRAG,Bestellung,Nachtrag zu Bestellung,"Ergänzung, Korrektur oder Nachbestellung zu einer bereits per E-Mail aufgegebenen Bestellung.",hoch,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-10T10:23:15.092Z
14,RECHNUNG_EINGANG,Rechnung,Eingangsrechnung,"Rechnung, Zahlungsbeleg oder Kaufbeleg eines Lieferanten oder Dienstleisters",normal,erik@dreikraut.de,Rechnungen,RECHNUNG_VERWALTEN,,2026-07-09T10:46:44.566Z,2026-07-17T07:04:36.539Z
15,RECHNUNG_GUTSCHRIFT,Rechnung,Gutschrift,"Gutschrift, Korrekturbeleg oder Erstattungsbeleg eines Lieferanten oder Dienstleisters.",normal,erik@dreikraut.de,Rechnungen,RECHNUNG_VERWALTEN,,2026-07-09T10:46:44.566Z,2026-07-17T07:04:38.820Z
16,RECHNUNG_MAHNUNG,Rechnung,Mahnung oder Zahlungsaufforderung,"An uns gerichtet: Mahnung, überfällige Rechnung, Zahlungsaufforderung oder Hinweis auf drohende Sperre beziehungsweise Inkasso.",hoch,erik@dreikraut.de,Rechnungen,RECHNUNG_VERWALTEN,,2026-07-09T10:46:44.566Z,2026-07-17T07:04:42.349Z
17,LIEFERANT_ANGEBOT,Einkauf,Angebot,"Preisangebot, Produktangebot oder Konditionsvorschlag eines bestehenden oder potenziellen Lieferanten.",normal,,Einkauf/Angebote,LIEFERANTENMAIL_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
18,LIEFERANT_AUFTRAGSBESTAETIGUNG,Einkauf,Auftragsbestätigung,"Bestätigung einer von dreikraut ausgelösten Bestellung mit Artikeln, Mengen, Preisen und Lieferterminen.",normal,,Einkauf/Auftragsbestaetigungen,LIEFERANTENMAIL_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
19,LIEFERANT_LIEFERAVIS,Einkauf,Lieferavis und Versandmeldung,"Ankündigung einer Lieferantensendung, Versandbestätigung, Trackinginformation oder Terminavis.",normal,,Einkauf/Lieferavis,LIEFERANTENMAIL_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
20,LIEFERANT_LIEFERPROBLEM,Einkauf,Lieferproblem oder Rückstand,"Mitteilung über Verzögerung, Nichtverfügbarkeit, Teillieferung, Rückstand oder geänderten Liefertermin.",hoch,,Einkauf/Lieferprobleme,LIEFERANTENMAIL_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
21,LIEFERANT_PREISAENDERUNG,Einkauf,Preis- oder Konditionsänderung,"Ankündigung veränderter Preise, Rabatte, Mindestmengen, Zahlungsbedingungen oder sonstiger Konditionen.",normal,,Einkauf/Preisaenderungen,LIEFERANTENMAIL_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
22,LIEFERANT_QUALITAET,Einkauf,Qualität und Reklamation,"Korrespondenz zu Rohstoff- oder Warenqualität, Abweichungen, Beanstandungen, Rückrufen oder Korrekturmaßnahmen.",hoch,,Einkauf/Qualitaet,LIEFERANTENMAIL_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
23,LIEFERANT_DOKUMENTE,Einkauf,Dokumente und Zertifikate,"Spezifikationen, Analysenzertifikate, Bio-Nachweise, Sicherheitsdatenblätter oder andere produkt- und lieferantenbezogene Unterlagen.",normal,,Einkauf/Dokumente,LIEFERANTENMAIL_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
24,MARKETING_KOOPERATION,Marketing,"Kooperation, Presse oder Influencer","Anfrage zu Kooperation, Produkttest, Presse, Affiliate-Partnerschaft, Influencer-Marketing oder vergleichbarer Zusammenarbeit.",niedrig,,Marketing/Kooperationen,MARKETINGMAIL_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
25,MARKETING_NEWSLETTER,Marketing,Newsletter und Brancheninformation,"Erwartete oder fachlich relevante Newsletter, Markt-, Branchen- und Wettbewerbsinformationen mit erkennbarem Bezug zu dreikraut. Keine allgemeinen Verbraucherangebote, Abnehmwerbung, Affiliate-Werbung oder sonstige unerwünschte Werbe-Newsletter.",niedrig,marketing@dreikraut.de,Newsletter,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-09T18:57:58.520Z
26,AUDIO_ANRUFBEANTWORTER,Kommunikation,Sprachnachricht,"Ursprüngliche, noch nicht transkribierte Sprachnachricht oder Anrufbeantworter-Mail mit Audioanhang. Nur verwenden, wenn Betreff und Mailtext nicht erkennen lassen, dass bereits eine automatische Transkription vorliegt. Mails mit dem Betreff-Präfix [TRANSKRIPTION] dürfen niemals dieser Klasse zugeordnet werden sondern werden behandelt wie originäre Kunden-Emails.",normal,,,AUDIO_TRANSKRIBIEREN,,2026-07-09T10:46:44.566Z,2026-07-09T21:58:03.333Z
27,SYSTEM_BOUNCE,System,Unzustellbarkeit und Bounce,"Automatische Meldung, dass eine ausgehende E-Mail nicht oder nur eingeschränkt zugestellt werden konnte.",normal,,System/Bounces,SYSTEMMELDUNG_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
28,SYSTEM_TECHNIK,System,Technische Warnung oder Störung,"Automatische Warnung zu Shop, Server, Zahlungsdienst, Marktplatz, Schnittstelle, Konto oder anderem geschäftskritischen System.",hoch,,System/Technik,SYSTEMMELDUNG_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
29,RECHT_BEHOERDE,Recht und Behörden,Rechtliches oder behördliches Schreiben,"Schreiben von Behörde, Gericht, Rechtsanwalt, Versicherung, Inkasso oder sonstiger Stelle mit möglicher rechtlicher oder fristgebundener Bedeutung.",hoch,,Recht-Behoerde,RECHTSSACHE_BEARBEITEN,,2026-07-09T10:46:44.566Z,2026-07-09T10:46:44.566Z
30,UNGEKLAERT,Prüfen,Unklare Einordnung,Die Nachricht lässt sich keiner vorhandenen Klassifikation sicher und sinnvoll zuordnen.,normal,info@dreikraut.de,Ungeklaert,MAIL_VERSCHIEBEN,,2026-07-09T10:46:44.566Z,2026-07-13T07:15:17.053Z
31,KUNDE_ZAHLUNGSAVIS,Kundenservice,Zahlungsavis Zahlungsankündigungen,"Zahlungsavis sind Aufschlüsselungen von Sammelzahlungen an uns, die in der Regel im Anhang der Mail zu finden sind. ",normal,service@dreikraut.de,INBOX,MAIL_VERSCHIEBEN,,2026-07-10T08:47:38.075Z,2026-07-10T08:50:37.507Z
32,AMAZON_STATUS,Amazon,Mails zu einzelnen Bestellungen oder Zahlungen,"Mails von Amazon, in denen uns Auszahlungen angekündigt werden (oft auch in anderen Sprachen) oder in denen der Versand einzelner Bestellungen durch Amazon angekündigt wird",niedrig,info@dreikraut.de,Amazon-Status,MAIL_VERSCHIEBEN,,2026-07-10T08:54:01.580Z,2026-07-10T08:56:33.316Z
33,AMAZON_WICHTIG,Amazon,Mails zu Störungen und kritischen Vorgängen,"Mails von Amazon, in denen wir gewarnt werden wegen:
- nicht erfolgten Versandes durch uns
- Sicherheitsrichtlinien, die nicht eingehalten werden
- Verkäuferleistung, bei der es ein Problem gibt
- Produktlistings, die gesperrt wurden oder werden könnten",hoch,info@dreikraut.de,Amazon-Wichtig,MAIL_VERSCHIEBEN,,2026-07-10T08:56:36.400Z,2026-07-10T08:58:31.195Z
34,MISC_BEWERBUNGEN,Sonstige,Bewerbungen,Bewerbungen an uns auf ausgeschriebene Stellen oder auch Initiativbewerbungen.,normal,erik@dreikraut.de,Bewerbungen,MAIL_VERSCHIEBEN,,2026-07-10T09:25:59.363Z,2026-07-10T09:38:46.395Z
